Clarabelle McFeat,555-81-5904,Poland,32-503,5/6/1991,Female,Single,5/6/1989,10/15/2007,Retired,Terminated,Human Resources,5,Mętków
Brandise Ruperti,256-51-9358,China,,8/24/1997,Female,Divorced,5/3/1994,10/6/2013,Fired with cause,Terminated,Product Management,8,Leping
Mozelle Raynham,149-12-3903,Thailand,64110,5/19/1967,Female,Divorced,6/20/1977,12/10/1977,Fired with cause,Terminated,Services,1,Sawankhalok
Roberta Casaccio,189-02-7860,Russia,188478,10/25/1974,Female,Single,7/27/2004,4/5/1999,Career change,Working,Accounting,3,Vistino
Phaedra O'Dooghaine,729-41-5134,China,,1/4/2000,Female,Divorced,1/8/2016,11/21/1990,Quit,On Leave,Marketing,5,Chuanxi
Scarface Kennifeck,159-47-3821,Serbia,,6/26/1988,Male,Divorced,9/27/2008,10/11/1990,Career change,On Leave,Training,10,Sremska Mitrovica
Kevan Knappett,897-46-2272,Indonesia,,1/22/1981,Male,Divorced,8/15/2010,5/14/1987,Fired with cause,Working,Engineering,2,Kendung Timur
Merrel Hounsham,702-12-3960,China,,6/24/1990,Male,Divorced,5/30/1984,8/16/1996,Retired,On Leave,Legal,6,Nanshui
Hephzibah Ivel,767-59-2592,China,,12/9/1968,Female,Divorced,4/6/1989,5/13/1997,Career change,Terminated,Accounting,10,Changning
Adaline Timlin,855-22-4073,Venezuela,,3/26/1971,Female,Single,2/28/1979,8/22/1982,Fired with cause,Working,Engineering,8,Macapo
Lilllie Nund,643-42-9298,China,,6/10/1976,Female,Divorced,6/8/1990,8/1/2010,Quit,Terminated,Marketing,7,Chahannao
Ludovico Dabel,225-62-2637,Panama,,3/21/1995,Male,Single,2/4/2003,9/24/2008,Fired with cause,On Leave,Engineering,2,Río Alejandro
Herschel Snarie,236-92-4646,Netherlands,2629,4/23/1972,Male,Married,6/23/1979,2/8/1995,Quit,Terminated,Product Management,3,Delft
Brice Forbes,662-34-5632,China,,9/15/1996,Male,Single,1/30/1989,12/25/1992,Quit,Terminated,Sales,8,Lizi
Marwin Wagner,539-42-7301,Portugal,2860-278,10/14/1971,Male,Married,11/6/1988,1/23/1978,Retired,On Leave,Accounting,5,Rego de Água
Sydney Heustice,195-25-8664,Azerbaijan,,10/19/1989,Male,Single,11/12/1989,6/12/1993,Career change,On Leave,Accounting,2,Yevlakh
Herrick Nijs,180-64-3692,Czech Republic,431 51,12/21/1984,Male,Single,12/31/1989,2/25/2018,Fired with cause,Working,Research and Development,8,Klášterec nad Ohří
Taylor Boles,720-63-5435,New Zealand,7052,6/2/1964,Male,Divorced,1/2/1997,9/3/1992,Retired,On Leave,Support,2,Wakefield
Pamela Durston,262-18-7319,Philippines,9203,7/12/1977,Female,Divorced,7/23/2000,3/29/1986,Quit,Terminated,Marketing,2,Matungao
