Trudie Gueste,132-65-2179,Brazil,95555-000,1/18/1998,Female,Divorced,4/21/1978,8/16/2007,Retired,On Leave,Product Management,8,Capão da Canoa
Mathian Gellately,205-66-3957,Canada,L6S,8/8/1996,Male,Single,9/24/1994,5/3/1989,Career change,Working,Marketing,2,Belfast
Jecho Graine,635-98-5325,Indonesia,,7/24/1993,Male,Divorced,3/7/1996,10/21/2000,Quit,Terminated,Training,3,Mbomba
Charlotte Toovey,756-93-2957,Russia,607040,2/5/1987,Female,Married,4/17/1980,6/15/1976,Career change,Terminated,Research and Development,7,Vilya
Alonso Sanbrooke,408-18-0399,Bulgaria,8000,9/17/1996,Male,Divorced,4/5/2011,12/8/2011,Career change,Working,Marketing,4,Burgas
Rowan Bindley,337-98-5686,Netherlands,2989,8/21/1960,Male,Single,8/29/2002,4/5/1998,Career change,Working,Research and Development,10,Ridderkerk
Barbette Gardener,169-99-7775,China,,6/28/1992,Female,Single,6/15/2001,3/14/1989,Retired,On Leave,Services,4,Bao’an
Charita Sidnell,820-58-5186,Philippines,2709,3/19/1968,Female,Single,6/13/2010,8/29/1978,Fired with cause,Terminated,Support,7,Galimuyod
Rab Boules,536-76-4032,Indonesia,,10/9/1978,Male,Divorced,5/12/2004,9/30/2004,Quit,Terminated,Human Resources,5,Sukasari
Gaspar Adlard,460-54-6045,China,,5/6/1977,Male,Married,11/6/1995,3/19/1998,Career change,Terminated,Legal,5,Hejiaping
Mychal Rove,331-06-1661,China,,12/25/1990,Male,Divorced,3/20/2002,7/24/1984,Fired with cause,On Leave,Engineering,4,Dianshui
Chantal Baudon,694-67-8795,New Caledonia,98839,10/17/1958,Female,Single,3/7/2000,2/7/2015,Retired,Working,Business Development,8,Dumbéa
Joachim Learman,257-32-4608,China,,7/5/1971,Male,Married,8/30/2010,4/14/1996,Quit,Terminated,Legal,3,Zhujiatai
Deni Minchinden,642-47-3074,Colombia,132007,3/8/1990,Female,Single,11/18/2017,2/10/2019,Quit,Terminated,Engineering,7,El Guamo
Glynda Moloney,745-12-9832,Turkmenistan,,2/25/1984,Female,Married,10/23/2006,5/9/1989,Quit,On Leave,Engineering,9,Türkmenbaşy
Bette-ann Scandroot,296-43-1458,Angola,,6/22/1963,Female,Single,3/31/2015,8/24/1978,Career change,Working,Research and Development,7,Namibe
Bale McAreavey,837-39-0054,Peru,,2/17/1983,Male,Married,8/20/2017,6/1/1996,Career change,Terminated,Accounting,10,Cotabambas
Rosabella Clementucci,786-56-0972,Bosnia and Herzegovina,,8/12/1992,Female,Married,3/17/1996,9/7/1984,Quit,Working,Sales,2,Dubravica
Tadd Gwinn,236-10-9627,Guatemala,04006,6/2/1993,Male,Single,1/27/2010,10/10/2008,Quit,On Leave,Support,10,Tecpán Guatemala
Kim Enevoldsen,306-06-7576,China,,6/2/1964,Female,Divorced,6/26/2004,5/5/1995,Retired,Working,Engineering,4,Wantian
Toma Gofforth,640-36-0786,China,,3/22/1962,Female,Divorced,4/14/2004,5/5/1989,Quit,Working,Training,1,Huamu
Carver Clevely,439-11-0793,Japan,939-1733,2/18/1965,Male,Married,4/28/2017,3/20/2008,Career change,On Leave,Support,5,Nanto-shi
Verile Arthars,592-49-8790,Finland,41521,3/22/1960,Female,Married,11/1/1981,2/1/2014,Retired,Terminated,Product Management,2,Hankasalmi
Doy Gerretsen,297-47-8144,Ethiopia,,5/21/1965,Male,Married,4/27/2015,1/19/2018,Retired,Working,Support,4,Gimbi
Isabel Goodrick,352-92-7295,Brazil,88500-000,10/21/1977,Female,Single,12/28/1998,6/3/1981,Fired with cause,Working,Services,2,Lages
Sergei Rannald,808-40-4241,Philippines,6011,3/17/1973,Male,Married,3/22/2001,8/5/2006,Career change,On Leave,Marketing,2,Badian
Constancia Pibsworth,602-29-1258,China,,4/8/1962,Female,Divorced,3/4/2003,9/16/1981,Career change,Working,Product Management,4,Huaxijie
