Ricardo Scurr,647-03-4846,Serbia,,5/14/2000,Male,Married,12/15/2000,5/14/2006,Quit,On Leave,Services,8,Hrtkovci
Langsdon Stait,429-97-6906,Sweden,667 30,12/23/1994,Male,Married,7/7/2004,5/11/1980,Retired,Working,Legal,4,Forshaga
Judy McRorie,155-13-4951,Brazil,88800-000,1/28/1983,Female,Divorced,9/16/2002,11/21/1998,Fired with cause,Terminated,Product Management,2,Criciúma
Denver Jaukovic,377-20-6298,China,,2/13/1976,Male,Married,5/4/2002,12/24/1980,Fired with cause,Terminated,Human Resources,5,Xianren
Hamlen Gilbee,156-30-0187,Bulgaria,4815,11/14/1988,Male,Single,2/1/1989,12/23/1979,Career change,Terminated,Accounting,4,Devin
Susanetta Ivanchov,880-13-4979,Indonesia,,9/2/1968,Female,Single,1/29/1994,1/14/2019,Fired with cause,Working,Human Resources,9,Panawuan
Boycey Du Hamel,396-99-8512,Nigeria,,2/5/1961,Male,Single,6/2/1988,6/8/2013,Career change,Terminated,Human Resources,1,New Shagunnu
Verne Elward,513-46-2131,China,,1/22/1997,Male,Divorced,1/31/1979,10/10/1985,Quit,Working,Support,2,Haimen
Hayward Kubasiewicz,781-11-9757,Bangladesh,3832,12/12/1987,Male,Married,2/2/1999,8/2/1992,Retired,Terminated,Services,3,Hājīganj
Brier Wildish,670-25-1044,Indonesia,,9/10/1989,Female,Married,11/18/1982,2/27/2002,Quit,Terminated,Legal,1,Langkap
Leticia Blasing,795-96-3277,Indonesia,,1/14/1960,Female,Married,8/29/2011,1/11/1978,Career change,On Leave,Support,8,Sepatan
Lil Millions,367-19-4408,China,,9/18/1984,Female,Single,1/3/1981,3/15/2018,Retired,Working,Marketing,6,Xixiang
Cassius Comizzoli,539-48-4552,Norway,9498,4/20/1997,Male,Divorced,7/21/2018,7/25/1990,Quit,Terminated,Services,5,Harstad
Vin Sapp,245-94-1222,Poland,28-411,8/22/1994,Male,Divorced,7/28/2008,5/7/2009,Retired,On Leave,Accounting,2,Michałów
Darrelle Verdey,775-27-2156,Philippines,2922,5/7/1982,Female,Divorced,2/11/2004,9/5/2006,Career change,Terminated,Legal,1,Dalupirip
