Stevana Dobinson,157-89-0494,Russia,671331,5/30/1959,Female,Single,9/27/1983,8/25/2011,Retired,Terminated,Sales,3,Il’ka
Yorke Kienl,873-87-7090,Brazil,77895-000,10/13/1990,Male,Divorced,3/28/2009,12/7/1990,Career change,Working,Training,1,Nazaré
Hort Baythorp,661-52-0416,Ghana,,12/3/1989,Male,Married,1/18/2005,8/13/1978,Retired,On Leave,Sales,3,Asamankese
Neile Snary,792-06-7480,Dominican Republic,11809,1/12/1959,Female,Single,6/17/1999,5/22/2003,Career change,Working,Product Management,9,Cachón
Kass Greaves,639-68-5202,Bulgaria,7219,2/12/1968,Female,Single,6/12/1991,8/19/1996,Fired with cause,Working,Support,9,Razgrad
Frances Bigglestone,216-03-9270,Albania,,12/3/1995,Female,Divorced,6/2/2002,6/28/1990,Retired,Working,Engineering,7,Vërtop
Britteny Ridgeway,101-35-2248,France,88504 CEDEX,11/2/1966,Female,Single,7/12/2004,4/29/2000,Career change,On Leave,Research and Development,4,Mirecourt
Marylynne Starking,421-37-4105,Venezuela,,8/30/1965,Female,Married,12/2/1997,7/16/2001,Fired with cause,Working,Engineering,1,Sabana de Parra
Rod Lagden,890-18-0194,China,,11/8/1992,Male,Divorced,5/25/1996,4/16/2010,Quit,On Leave,Product Management,6,Kunheda Woerzu Manzu
Nero Foulkes,256-81-6265,Indonesia,,12/8/1978,Male,Single,6/7/1995,6/7/1984,Quit,On Leave,Product Management,2,Welibo
Gibby Brakewell,265-72-8307,United States,79934,1/29/1991,Male,Married,7/26/1994,11/22/2017,Retired,Terminated,Product Management,6,El Paso
Hervey McCarly,634-73-8949,Portugal,7400-014,8/8/1995,Male,Divorced,10/14/2003,12/5/2000,Career change,Working,Accounting,4,Galveias
Marijo Sutter,836-34-6096,Argentina,6387,4/24/1989,Female,Divorced,12/26/1981,12/4/2007,Career change,On Leave,Legal,1,Caleufú
Tabb Cinavas,663-08-0291,China,,4/3/1985,Male,Divorced,12/14/2004,10/12/1998,Retired,On Leave,Marketing,1,Kuasha
Hildagarde Athersmith,893-14-8050,Brazil,68900-000,6/17/1997,Female,Divorced,7/7/1979,9/10/1981,Career change,Terminated,Training,7,Macapá
Heriberto Ballard,413-36-3663,China,,11/3/1987,Male,Divorced,4/23/1987,8/10/2006,Fired with cause,Working,Human Resources,1,Dafang
Cathi Caughte,164-35-4520,Russia,352685,3/15/1965,Female,Married,8/6/1987,6/17/1982,Fired with cause,Terminated,Research and Development,8,Neftegorsk
Joyous Claypoole,296-79-0344,Philippines,3100,9/30/1998,Female,Divorced,6/19/1984,5/8/1986,Quit,Terminated,Sales,9,Bangad
Georgeanna Khomich,694-79-1230,Philippines,7104,7/14/1962,Female,Single,2/17/2003,10/22/2015,Career change,Terminated,Marketing,2,Rizal
