Mignon Liversedge,773-93-5443,Indonesia,,7/4/1956,Female,Single,11/8/1982,6/2/1991,Career change,Working,Research and Development,3,Bakung Utara
Gerhardt Caff,163-86-0010,Russia,612090,12/10/1972,Male,Married,11/10/1977,6/22/2008,Quit,On Leave,Sales,2,Strizhi
Desirae Armin,520-68-3450,Indonesia,,6/16/1977,Female,Divorced,3/24/2007,3/28/2010,Retired,On Leave,Services,10,Koanara
Belia Finlay,397-73-6215,Brazil,15200-000,11/25/1971,Female,Married,7/7/1991,11/3/1996,Fired with cause,Working,Training,7,José Bonifácio
Ingram Boodell,854-95-7891,Venezuela,,1/5/1979,Male,Married,6/18/2013,8/12/1996,Retired,Working,Legal,9,El Cafetal
Dorian Cregeen,213-86-0025,Canada,L2T,10/1/1987,Female,Divorced,7/2/1982,1/12/2000,Retired,Working,Legal,8,Swan Hills
Ellene Milbourne,378-18-8928,Japan,362-0025,7/30/1976,Female,Single,5/20/2003,4/12/1985,Quit,Working,Sales,7,Ageoshimo
Drucy Symcox,459-44-6006,Ukraine,,4/15/1980,Female,Divorced,7/9/1977,7/21/1991,Career change,Terminated,Sales,9,Hołoby
Christy Carmo,461-22-4581,Philippines,9302,3/12/1958,Female,Single,5/29/2008,4/6/1985,Fired with cause,On Leave,Support,7,Montilla
Vanny Cadogan,674-09-0105,Canada,M3N,2/15/1968,Female,Married,3/2/1983,9/18/1997,Career change,Working,Sales,10,Vaughan
Alleyn Durkin,899-33-6526,Morocco,,9/25/1980,Male,Divorced,8/2/2012,2/25/1992,Retired,Terminated,Engineering,10,Tissa
Cloris Yoell,557-18-9357,China,,9/12/1966,Female,Divorced,5/10/2009,7/10/1986,Career change,On Leave,Marketing,8,Beizhakou
Reynard Doniso,216-88-5435,Portugal,7300-006,8/11/1997,Male,Divorced,5/20/1981,4/6/1989,Quit,Terminated,Training,6,Portalegre
Ashli MacCurley,351-14-9913,Argentina,5442,2/5/1972,Female,Divorced,12/30/2015,7/31/2011,Career change,Terminated,Services,8,Caucete
Bondie Nehlsen,179-47-7664,Iran,,11/13/1993,Male,Married,6/23/1985,8/25/2012,Career change,Working,Sales,4,Bandar-e Ganāveh
Antonie Abry,778-73-6402,Colombia,524039,8/30/1995,Female,Married,2/3/1983,10/27/1997,Retired,Terminated,Sales,2,Potosí
