Webb Becconsall,328-01-4204,Indonesia,,8/18/1984,Male,Divorced,8/8/1979,10/13/1999,Fired with cause,On Leave,Legal,1,Ntonggu
Nerti Knewstubb,492-47-8349,China,,1/20/1983,Female,Divorced,1/18/2015,2/4/1987,Career change,Working,Business Development,10,Yutou
Mark Fredi,205-63-8730,China,,12/3/1974,Male,Married,11/25/2015,10/17/1982,Fired with cause,Terminated,Services,4,Tahe
Herta Szimoni,755-90-5652,Papua New Guinea,,5/28/1997,Female,Single,1/7/1980,3/23/2015,Retired,Working,Human Resources,1,Kerema
Fancie Colling,491-20-4919,Indonesia,,4/4/1978,Female,Single,8/5/2016,8/22/2010,Quit,Terminated,Engineering,7,Krajan Suco
Ava Hurren,803-91-6881,Sweden,112 20,1/2/1997,Female,Married,9/7/1993,8/1/1976,Retired,Terminated,Research and Development,4,Stockholm
Simona Wear,607-62-7163,China,,1/18/1967,Female,Single,7/18/1996,7/4/2018,Retired,On Leave,Accounting,8,Hengyang
Jasper Bertelsen,209-56-1470,United Kingdom,B12,6/24/1964,Male,Married,2/27/2005,7/10/2002,Quit,Working,Legal,10,Birmingham
Reg Pilfold,236-44-6078,Poland,62-002,10/13/1971,Male,Divorced,7/31/1993,5/28/1985,Retired,Terminated,Marketing,1,Suchy Las
Tamiko Spaice,335-79-7087,Philippines,6340,5/25/1959,Female,Married,5/12/2005,7/24/2016,Quit,On Leave,Engineering,7,Doljo
Pete Ahmed,284-63-4970,Sweden,121 48,8/3/1992,Male,Single,1/14/1996,7/7/2002,Career change,Terminated,Research and Development,5,Johanneshov
Hilton Labes,470-83-5482,Guatemala,15002,2/1/1998,Male,Divorced,7/22/2008,6/29/1978,Career change,Terminated,Training,3,San Miguel Chicaj
Lorianne O'Reilly,138-73-8122,China,,10/28/1982,Female,Married,9/24/2005,8/31/2018,Quit,On Leave,Engineering,2,Kangshan
Stearne Mobberley,891-66-8731,France,31774 CEDEX,11/23/1997,Male,Single,6/21/2016,4/29/2018,Retired,Terminated,Marketing,10,Colomiers
Brittani Jenny,760-86-0101,China,,2/6/1977,Female,Single,6/5/1987,11/21/2003,Fired with cause,On Leave,Engineering,5,Tai’an
Masha Defond,582-69-6855,Russia,155553,8/6/1973,Female,Married,10/3/2018,4/10/2005,Quit,Working,Product Management,6,Privolzhsk
Colet Taylot,298-68-0369,Tunisia,,12/28/1996,Male,Single,10/6/1995,10/23/1986,Fired with cause,Working,Services,3,Mateur
Garnette Torvey,124-20-1400,Montserrat,,10/26/1956,Female,Married,1/20/2015,11/8/1995,Fired with cause,Working,Engineering,1,Brades
Michaella Cassimer,876-76-7758,North Korea,,7/18/1973,Female,Single,4/23/2014,4/22/1992,Retired,Terminated,Research and Development,9,T’ongch’ŏn-ŭp
Daisy Downham,374-60-1783,Indonesia,,4/25/1998,Female,Married,10/24/1981,4/27/1982,Quit,On Leave,Legal,8,Warmare
Frannie O' Hogan,342-15-1523,China,,8/5/1991,Female,Divorced,11/24/1978,1/1/1996,Fired with cause,Working,Human Resources,6,Jiangzao
Allie Giamelli,146-92-1243,Bosnia and Herzegovina,,6/17/1973,Female,Divorced,3/4/2006,4/28/1994,Career change,Terminated,Human Resources,5,Bila
Kathye Jentges,754-81-7062,Malaysia,62692,1/8/1966,Female,Single,4/21/1986,3/16/1994,Quit,On Leave,Research and Development,10,Putrajaya
Vin Fincher,751-82-9147,China,,3/25/1958,Female,Married,8/26/2011,12/25/2006,Career change,Working,Engineering,6,Haoyi
Alwin Marvell,348-46-8866,Philippines,9209,12/17/1984,Male,Single,12/3/2011,6/3/1992,Career change,Terminated,Human Resources,1,Payabon
Winnie Raphael,474-03-6113,Indonesia,,7/12/1983,Male,Married,7/8/1994,10/12/2002,Retired,Terminated,Support,1,Parse
Dana Janz,886-54-5059,China,,2/5/1976,Female,Married,8/11/2007,5/23/2016,Quit,Working,Business Development,2,Balidian
Eliot Smythin,338-72-9283,China,,5/27/1962,Male,Divorced,7/15/2007,7/11/1989,Fired with cause,Working,Training,1,Qiying
Cornelia Stanlock,616-80-6694,Jordan,,7/21/1974,Female,Divorced,1/29/1991,1/27/2014,Quit,On Leave,Legal,1,Kurayyimah
Libby Udy,569-84-6398,Greece,,3/15/1983,Female,Single,11/14/1981,2/2/2005,Quit,Working,Marketing,9,Psachná
Reena Matteris,247-90-3319,Mongolia,,11/23/1957,Female,Married,10/22/1997,8/24/1982,Retired,Working,Product Management,9,Hashaat
Hamnet O'Hartagan,251-58-1985,Bulgaria,5450,10/4/1991,Male,Divorced,4/2/1995,5/6/1996,Retired,Terminated,Legal,2,Sevlievo
Derrik Applegarth,590-35-5577,Czech Republic,593 01,9/7/1971,Male,Divorced,3/4/1980,6/23/1986,Fired with cause,Terminated,Human Resources,8,Bystřice nad Pernštejnem
Freda Tookill,706-56-1933,Venezuela,,6/17/1985,Female,Divorced,9/13/1991,6/22/2003,Quit,Terminated,Research and Development,3,Santa María de Ipire
Camile Venediktov,580-07-1926,Indonesia,,4/30/1993,Female,Divorced,9/15/1981,11/14/1998,Career change,Terminated,Product Management,8,Bantar Tengah
Karilynn Readhead,526-43-7009,China,,10/22/1983,Female,Divorced,2/16/2015,1/18/1992,Quit,Working,Training,6,Zhoupu
Sidoney Hornung,847-53-1634,China,,10/16/1997,Female,Single,11/15/2009,9/12/2002,Career change,Working,Business Development,9,Sancha
Godfree Crielly,848-32-0709,Pakistan,73201,8/13/1975,Male,Single,6/28/1997,6/10/2001,Retired,On Leave,Engineering,8,Ghauspur
