Fonsie Cullip,877-62-0629,France,24004 CEDEX,10/26/1979,Male,Divorced,9/7/2006,3/23/1983,Fired with cause,Working,Business Development,6,Périgueux
Rodrick Goodspeed,769-26-4116,Colombia,178057,7/29/1959,Male,Divorced,10/19/1977,1/9/2000,Fired with cause,Working,Services,6,Riosucio
Kane Pipet,654-60-3768,Pakistan,47951,3/25/1995,Male,Married,9/4/1984,5/17/2013,Retired,Terminated,Sales,7,New Mīrpur
Tremaine Duer,547-06-3744,China,,8/22/1982,Male,Single,6/23/2011,12/19/1977,Quit,Working,Sales,3,Baohe
Honor Sprott,584-49-2473,Rwanda,,9/24/1965,Female,Divorced,9/27/1989,7/31/1986,Fired with cause,Terminated,Sales,4,Gikongoro
Sheelagh Sommer,630-55-2949,Nigeria,,6/5/1967,Female,Single,2/18/1980,1/8/1990,Career change,Terminated,Sales,6,Potiskum
Yehudit Lindstrom,709-64-2168,Philippines,3117,12/12/1996,Male,Married,6/29/1998,8/11/1980,Fired with cause,Working,Services,8,Paitan Norte
Deane Jagson,409-16-3076,Colombia,133567,1/12/1998,Male,Married,3/27/2007,1/25/2008,Retired,Terminated,Engineering,1,Regidor
Junie Robison,582-39-3001,Czech Republic,686 04,9/6/1982,Female,Single,3/2/2016,4/2/2015,Retired,Terminated,Services,2,Popovice
Gaby Purse,368-18-4749,China,,5/10/1989,Female,Divorced,3/6/1982,8/21/1982,Retired,On Leave,Support,4,Xinshi
Peria Airs,584-97-5914,Canada,K2H,1/26/1980,Female,Divorced,5/30/2004,12/20/2013,Fired with cause,Terminated,Product Management,1,Fruitvale
Anatollo Nevison,878-84-3488,Tonga,,3/25/1967,Male,Divorced,7/26/1982,8/1/2001,Quit,On Leave,Support,7,Haveluloto
Angelita Ridpath,381-95-4869,China,,3/15/1971,Female,Single,6/29/1981,9/11/1985,Retired,On Leave,Legal,3,Qianpai
Berget Merkle,292-95-5890,Bosnia and Herzegovina,,3/7/1983,Female,Divorced,9/1/2012,11/26/1985,Retired,Terminated,Support,4,Prozor
Malina Guinery,172-97-7843,Japan,952-0317,12/6/1961,Female,Single,10/4/1991,11/25/2008,Career change,Terminated,Support,2,Toyota
Pen Saunderson,187-86-1229,France,77224 CEDEX,2/28/1988,Female,Divorced,7/10/2007,3/23/2017,Quit,Terminated,Research and Development,2,Tournan-en-Brie
Emmi McCready,412-30-7375,Philippines,9300,12/1/1982,Female,Married,2/14/2001,6/15/2015,Career change,Terminated,Accounting,9,Malabang
Dario Ullett,668-56-2938,Portugal,4800-424,10/12/1961,Male,Divorced,5/23/1978,10/28/2009,Career change,Terminated,Accounting,10,Gominhães
Stinky Reynoldson,474-97-6132,Philippines,6820,8/9/1998,Male,Divorced,8/10/1985,2/25/2002,Quit,Working,Sales,4,Maslog
Ulrike Pollack,617-17-0489,Saint Kitts and Nevis,,1/5/1963,Female,Married,10/26/2018,9/25/2016,Quit,Working,Business Development,5,Newcastle
Rois Renouf,255-60-7258,Portugal,4805-178,5/22/1964,Female,Single,5/4/2001,3/7/2001,Fired with cause,Working,Legal,5,Donim
Eugenio Mycroft,644-04-1002,Greece,,7/29/1991,Male,Divorced,7/12/2018,8/29/2008,Quit,Working,Accounting,9,Siteía
Moll Hubble,167-23-0460,Cameroon,,7/13/1998,Female,Single,1/17/1987,10/27/2017,Fired with cause,On Leave,Product Management,8,Garoua
